foursquare_id,name,short_name
4bf58dd8d48988d16c941735,ハンバーガーレストラン,ハンバーガー
4bf58dd8d48988d128941735,カフェテリア,カフェテリア
4bf58dd8d48988d16d941735,カフェ,カフェ
4bf58dd8d48988d17a941735,ケイジャン / クレオール料理店,ケイジャン / クレオール料理
4bf58dd8d48988d144941735,カリブ料理店,カリブ料理
4bf58dd8d48988d154941735,キューバ料理店,キューバ料理
5293a7d53cf9994f4e043a45,コーカサス料理店,コーカサス料理
4bf58dd8d48988d1e0931735,コーヒーショップ,コーヒーショップ
52e81612bcbc57f1066b7a00,伝統料理店,伝統料理
52e81612bcbc57f1066b79f2,クレープ屋,クレープ屋
52f2ae52bcbc57f1066b8b81,チェコ料理店,チェコ
4bf58dd8d48988d146941735,惣菜 / 弁当,惣菜 / 弁当
4bf58dd8d48988d1d0941735,デザートショップ,デザート
4bf58dd8d48988d1bc941735,カップケーキ専門店,カップケーキ
512e7cae91d4cbb4e5efe0af,フローズンヨーグルト店,ヨーグルト
4bf58dd8d48988d1c9941735,アイスクリームショップ,アイスクリーム
5744ccdfe4b0c0459246b4e2,洋菓子店,洋菓子
52e81612bcbc57f1066b7a0a,パイショップ,パイショップ
4bf58dd8d48988d147941735,定食屋,定食屋
4bf58dd8d48988d148941735,ドーナツ店,ドーナツ
4bf58dd8d48988d108941735,餃子レストラン,餃子
5744ccdfe4b0c0459246b4d0,オランダ料理店,オランダ
4bf58dd8d48988d109941735,東ヨーロッパ料理店,東ヨーロッパ料理
52e928d0bcbc57f1066b7e97,ベラルーシ料理店,ベラルーシ料理
58daa1558bbb0b01f18ec1ee,ボスニア料理店,ボスニア料理
56aa371be4b08b9a8d5734f3,ブルガリア料理店,ブルガリア料理
52960bac3cf9994f4e043ac4,ルーマニア料理店,ルーマニア料理
52e928d0bcbc57f1066b7e98,タタール料理店,Tatar
52e81612bcbc57f1066b7a05,イギリス料理店,イギリス料理
4bf58dd8d48988d10b941735,ファラフェルレストラン,ファラフェル
4bf58dd8d48988d16e941735,ファーストフード店,ファーストフード
4edd64a0c7ddd24ca188df1a,フィッシュ & チップス店,フィッシュ & チップス
52e81612bcbc57f1066b7a09,フォンデュ料理店,フォンデュ
4bf58dd8d48988d120951735,フードコート,フードコート
56aa371be4b08b9a8d57350b,屋台,屋台
4bf58dd8d48988d1cb941735,フードトラック,フードトラック
4bf58dd8d48988d10c941735,フランス料理店,フランス料理
57558b36e4b065ecebd306b6,アルザス料理レストラン,アルザス
57558b36e4b065ecebd306b8,オーヴェルニュ料理レストラン,オーヴェルニュ
57558b36e4b065ecebd306bc,バスク料理レストラン,バスク
57558b36e4b065ecebd306b0,ブラッスリー,ブラッスリー
57558b36e4b065ecebd306c5,ブルトン料理レストラン,ブルトン
57558b36e4b065ecebd306c0,ブルゴーニュ料理レストラン,ブルゴーニュ
57558b36e4b065ecebd306cb,カタロニア料理レストラン,カタロニア
57558b36e4b065ecebd306ce,シュティ料理レストラン,シュティ
57558b36e4b065ecebd306d1,コルシカ料理レストラン,コルシカ
57558b36e4b065ecebd306b4,エスタミネ,エスタミネ
57558b36e4b065ecebd306b2,大衆酒場,大衆酒場
57558b35e4b065ecebd306ad,リヨン料理店,ブション
57558b36e4b065ecebd306d4,ノルマン料理レストラン,ノルマン
57558b36e4b065ecebd306d7,プロバンス料理レストラン,プロバンス
57558b36e4b065ecebd306da,サボイ料理レストラン,サボイ
57558b36e4b065ecebd306ba,フランス南西部料理レストラン,フランス南西部
4d4ae6fc7a7b7dea34424761,フライドチキン店,フライドチキン
55d25775498e9f6a0816a37a,フライドポテト,フライドポテト
4bf58dd8d48988d155941735,ガストロパブ,ガストロパブ
4bf58dd8d48988d10d941735,ドイツ料理店,ドイツ料理
56aa371ce4b08b9a8d573583,アップルワインパブ,アップルワイン
56aa371ce4b08b9a8d573572,バイエルン料理店,バイエルン料理
56aa371ce4b08b9a8d57358e,ブラートヴルスト居酒屋,ブラートヴルスト
56aa371ce4b08b9a8d57358b,カリーヴルスト居酒屋,カリーヴルスト
56aa371ce4b08b9a8d573574,フランコニアンレストラン,フランコニアン
56aa371ce4b08b9a8d573592,ドイツワイン居酒屋（ベーゼンヴィルトシャフト）,ドイツワイン居酒屋（ベーゼンヴィルトシャフト）
56aa371ce4b08b9a8d573578,パラティンレストラン,パラティン
56aa371ce4b08b9a8d57357b,ライン料理レストラン,ライン料理
56aa371ce4b08b9a8d573587,シュニッツェルレストラン,シュニッツェル
56aa371ce4b08b9a8d57357f,シレジア料理レストラン,シレジア料理
56aa371ce4b08b9a8d573576,シュワーベン料理レストラン,シュワーベン料理
4c2cd86ed066bed06c3c5209,グルテンフリーレストラン,グルテンフリー
4bf58dd8d48988d10e941735,ギリシャ料理店,ギリシャ料理
53d6c1b0e4b02351e88a83e8,ブガッツァ店,ブガッツァ店
53d6c1b0e4b02351e88a83e2,クレタ料理店,クレタ料理店
53d6c1b0e4b02351e88a83d8,魚のタベルナ,魚のタベルナ
53d6c1b0e4b02351e88a83d6,グリル肉料理店,グリル肉料理店
53d6c1b0e4b02351e88a83e6,カフェニオ,カフェニア
53d6c1b0e4b02351e88a83e4,マジリオ,マジリオ
53d6c1b0e4b02351e88a83da,メゼ料理店,メゼ料理店
53d6c1b0e4b02351e88a83d4,モダンギリシャ料理店,モダンギリシャ料理店
53d6c1b0e4b02351e88a83dc,ウゼリ,ウゼリ
53d6c1b0e4b02351e88a83e0,Patsa Restaurant,パツァス料理店
52e81612bcbc57f1066b79f3,スブラキ店,スブラキ
53d6c1b0e4b02351e88a83d2,タベルナ,タベルナ
53d6c1b0e4b02351e88a83de,ツィパウロ料理店,ツィパウロ料理店
52e81612bcbc57f1066b79ff,ハラール料理店,ハラール
52e81612bcbc57f1066b79fe,ハワイ料理店,ハワイ料理
4bf58dd8d48988d16f941735,ホットドッグ店,ホットドッグ
52e81612bcbc57f1066b79fa,ハンガリー料理店,ハンガリー料理
4bf58dd8d48988d10f941735,インド料理店,インド料理
54135bf5e4b08f3d2429dfe5,アンドラ料理店,アンドラ
54135bf5e4b08f3d2429dff3,アワディ料理店,アワディ
54135bf5e4b08f3d2429dff5,ベンガル料理店,ベンガル料理
54135bf5e4b08f3d2429dfe2,チャートが食べられるスポット,チャート
54135bf5e4b08f3d2429dff2,チェティナドゥ料理店,チェティナドゥ
54135bf5e4b08f3d2429dfe1,ダーバ,ダーバ
54135bf5e4b08f3d2429dfe3,ドーサが食べられるスポット,ドーサ
54135bf5e4b08f3d2429dfe8,ゴア料理店,ゴア料理
54135bf5e4b08f3d2429dfe9,グジャラート料理店,グジャラート料理
54135bf5e4b08f3d2429dfe6,ハイデラバード料理店,ハイデラバード料理
54135bf5e4b08f3d2429dfdf,インド系中華料理店,インド系中華料理
54135bf5e4b08f3d2429dfe4,インドのスイーツショップ,インドのスイーツ
54135bf5e4b08f3d2429dfe7,イラン系カフェ,イラン系
54135bf5e4b08f3d2429dfea,ジャイナ料理店,ジャイナ料理
54135bf5e4b08f3d2429dfeb,カルナータカ料理店,カルナータカ料理
54135bf5e4b08f3d2429dfed,ケララ料理店,ケララ料理
54135bf5e4b08f3d2429dfee,マハーラーシュトラ料理店,マハーラーシュトラ料理
54135bf5e4b08f3d2429dff4,ムグライ料理店,ムグライ料理
54135bf5e4b08f3d2429dfe0,多系統インド料理店,多系統インド料理
54135bf5e4b08f3d2429dfdd,北部インド料理,北部インド
54135bf5e4b08f3d2429dff6,北東インド料理店,北東インド料理
54135bf5e4b08f3d2429dfef,パーシ料理店,パーシ料理
54135bf5e4b08f3d2429dff0,パンジャブ料理店,パンジャブ
54135bf5e4b08f3d2429dff1,ラージャスターン料理店,ラージャスターン
54135bf5e4b08f3d2429dfde,南部インド料理店,南部インド
54135bf5e4b08f3d2429dfec,ウドピ料理店,ウドピ料理
52e81612bcbc57f1066b7a06,アイリッシュパブ,アイルランド料理店
4bf58dd8d48988d110941735,イタリア料理店,イタリア料理
55a5a1ebe4b013909087cbb6,アブルッツォ料理店,アブルッツォ
55a5a1ebe4b013909087cb7c,アグリツーリズモ,アグリツーリズモ
55a5a1ebe4b013909087cba7,アオスタ料理店,アオスタ
55a5a1ebe4b013909087cba1,バジリカータ料理店,バジリカータ
55a5a1ebe4b013909087cba4,カラブリア料理店,カラブリア
55a5a1ebe4b013909087cb95,カンパニア料理店,カンパニア
55a5a1ebe4b013909087cb89,エミリア料理店,エミリア
55a5a1ebe4b013909087cb9b,フリウリ料理店,フリウリ
55a5a1ebe4b013909087cb98,リグーリア料理店,リグーリア
55a5a1ebe4b013909087cbbf,ロンバルディア料理店,ロンバルディア
55a5a1ebe4b013909087cb79,マルガー,マルガー
55a5a1ebe4b013909087cbb0,マルシェ料理店,マルシェ
55a5a1ebe4b013909087cbb3,モリーゼ料理店,モリーゼ
55a5a1ebe4b013909087cb74,ピアディネリア,ピアディネリア
55a5a1ebe4b013909087cbaa,ピエモンテ料理店,ピエモンテ
55a5a1ebe4b013909087cb83,プッリャ料理店,プッリャ
55a5a1ebe4b013909087cb8c,ロマーニャ料理店,ロマーニャ
55a5a1ebe4b013909087cb92,ローマ料理店,ローマ
