id,name
52e928d0bcbc57f1066b7e98,タタール料理店
52e81612bcbc57f1066b7a05,イギリス料理店
4bf58dd8d48988d10b941735,ファラフェルレストラン
4bf58dd8d48988d16e941735,ファーストフード店
4edd64a0c7ddd24ca188df1a,フィッシュ & チップス店
52e81612bcbc57f1066b7a09,フォンデュ料理店
4bf58dd8d48988d120951735,フードコート
56aa371be4b08b9a8d57350b,屋台
4bf58dd8d48988d1cb941735,フードトラック
4bf58dd8d48988d10c941735,フランス料理店
57558b36e4b065ecebd306b6,アルザス料理レストラン
57558b36e4b065ecebd306b8,オーヴェルニュ料理レストラン
57558b36e4b065ecebd306bc,バスク料理レストラン
57558b36e4b065ecebd306b0,ブラッスリー
57558b36e4b065ecebd306c5,ブルトン料理レストラン
57558b36e4b065ecebd306c0,ブルゴーニュ料理レストラン
57558b36e4b065ecebd306cb,カタロニア料理レストラン
57558b36e4b065ecebd306ce,シュティ料理レストラン
57558b36e4b065ecebd306d1,コルシカ料理レストラン
57558b36e4b065ecebd306b4,エスタミネ
57558b36e4b065ecebd306b2,大衆酒場
57558b35e4b065ecebd306ad,リヨン料理店
57558b36e4b065ecebd306d4,ノルマン料理レストラン
57558b36e4b065ecebd306d7,プロバンス料理レストラン
57558b36e4b065ecebd306da,サボイ料理レストラン
57558b36e4b065ecebd306ba,フランス南西部料理レストラン
4d4ae6fc7a7b7dea34424761,フライドチキン店
55d25775498e9f6a0816a37a,フライドポテト
4bf58dd8d48988d155941735,ガストロパブ
4bf58dd8d48988d10d941735,ドイツ料理店
56aa371ce4b08b9a8d573583,アップルワインパブ
56aa371ce4b08b9a8d573572,バイエルン料理店
56aa371ce4b08b9a8d57358e,ブラートヴルスト居酒屋
56aa371ce4b08b9a8d57358b,カリーヴルスト居酒屋
56aa371ce4b08b9a8d573574,フランコニアンレストラン
56aa371ce4b08b9a8d573592,ドイツワイン居酒屋（ベーゼンヴィルトシャフト）
56aa371ce4b08b9a8d573578,パラティンレストラン
56aa371ce4b08b9a8d57357b,ライン料理レストラン
56aa371ce4b08b9a8d573587,シュニッツェルレストラン
56aa371ce4b08b9a8d57357f,シレジア料理レストラン
56aa371ce4b08b9a8d573576,シュワーベン料理レストラン
4c2cd86ed066bed06c3c5209,グルテンフリーレストラン
4bf58dd8d48988d10e941735,ギリシャ料理店
53d6c1b0e4b02351e88a83e8,ブガッツァ店
53d6c1b0e4b02351e88a83e2,クレタ料理店
53d6c1b0e4b02351e88a83d8,魚のタベルナ
53d6c1b0e4b02351e88a83d6,グリル肉料理店
53d6c1b0e4b02351e88a83e6,カフェニオ
53d6c1b0e4b02351e88a83e4,マジリオ
53d6c1b0e4b02351e88a83da,メゼ料理店
53d6c1b0e4b02351e88a83d4,モダンギリシャ料理店
53d6c1b0e4b02351e88a83dc,ウゼリ
53d6c1b0e4b02351e88a83e0,Patsa Restaurant
52e81612bcbc57f1066b79f3,スブラキ店
53d6c1b0e4b02351e88a83d2,タベルナ
53d6c1b0e4b02351e88a83de,ツィパウロ料理店
52e81612bcbc57f1066b79ff,ハラール料理店
52e81612bcbc57f1066b79fe,ハワイ料理店
4bf58dd8d48988d16f941735,ホットドッグ店
52e81612bcbc57f1066b79fa,ハンガリー料理店
4bf58dd8d48988d10f941735,インド料理店
54135bf5e4b08f3d2429dfe5,アンドラ料理店
54135bf5e4b08f3d2429dff3,アワディ料理店
54135bf5e4b08f3d2429dff5,ベンガル料理店
54135bf5e4b08f3d2429dfe2,チャートが食べられるスポット
54135bf5e4b08f3d2429dff2,チェティナドゥ料理店
54135bf5e4b08f3d2429dfe1,ダーバ
54135bf5e4b08f3d2429dfe3,ドーサが食べられるスポット
54135bf5e4b08f3d2429dfe8,ゴア料理店
54135bf5e4b08f3d2429dfe9,グジャラート料理店
54135bf5e4b08f3d2429dfe6,ハイデラバード料理店
54135bf5e4b08f3d2429dfdf,インド系中華料理店
54135bf5e4b08f3d2429dfe4,インドのスイーツショップ
54135bf5e4b08f3d2429dfe7,イラン系カフェ
54135bf5e4b08f3d2429dfea,ジャイナ料理店
54135bf5e4b08f3d2429dfeb,カルナータカ料理店
54135bf5e4b08f3d2429dfed,ケララ料理店
54135bf5e4b08f3d2429dfee,マハーラーシュトラ料理店
54135bf5e4b08f3d2429dff4,ムグライ料理店
54135bf5e4b08f3d2429dfe0,多系統インド料理店
54135bf5e4b08f3d2429dfdd,北部インド料理
54135bf5e4b08f3d2429dff6,北東インド料理店
54135bf5e4b08f3d2429dfef,パーシ料理店
54135bf5e4b08f3d2429dff0,パンジャブ料理店
54135bf5e4b08f3d2429dff1,ラージャスターン料理店
54135bf5e4b08f3d2429dfde,南部インド料理店
54135bf5e4b08f3d2429dfec,ウドピ料理店
52e81612bcbc57f1066b7a06,アイリッシュパブ
4bf58dd8d48988d110941735,イタリア料理店
55a5a1ebe4b013909087cbb6,アブルッツォ料理店
55a5a1ebe4b013909087cb7c,アグリツーリズモ
55a5a1ebe4b013909087cba7,アオスタ料理店
55a5a1ebe4b013909087cba1,バジリカータ料理店
55a5a1ebe4b013909087cba4,カラブリア料理店
55a5a1ebe4b013909087cb95,カンパニア料理店
55a5a1ebe4b013909087cb89,エミリア料理店
55a5a1ebe4b013909087cb9b,フリウリ料理店
55a5a1ebe4b013909087cb98,リグーリア料理店
55a5a1ebe4b013909087cbbf,ロンバルディア料理店
55a5a1ebe4b013909087cb79,マルガー
55a5a1ebe4b013909087cbb0,マルシェ料理店
55a5a1ebe4b013909087cbb3,モリーゼ料理店
55a5a1ebe4b013909087cb74,ピアディネリア
55a5a1ebe4b013909087cbaa,ピエモンテ料理店
55a5a1ebe4b013909087cb83,プッリャ料理店
55a5a1ebe4b013909087cb8c,ロマーニャ料理店
